action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,33969,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '19.61', 'le': '0.36', 'lle': '3.32', 'sei': '9.21'}",CHEMBL133897,,CHEMBL133897,6.12,0,http://www.openphacts.org/units/Nanomolar,252547,=,1,1,=,,IC50,nM,,750.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.75
,,33969,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '19.61', 'le': '0.36', 'lle': '3.32', 'sei': '9.21'}",CHEMBL133897,,CHEMBL133897,6.12,0,http://www.openphacts.org/units/Nanomolar,252547,=,1,1,=,,IC50,nM,,750.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.75
,,37563,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '18.57', 'le': '0.38', 'lle': '2.45', 'sei': '13.72'}",CHEMBL336398,,CHEMBL336398,7.00,0,http://www.openphacts.org/units/Nanomolar,252533,=,1,1,=,,IC50,nM,,100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.1
,,38902,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '16.11', 'le': '0.34', 'lle': '1.81', 'sei': '12.78'}",CHEMBL130628,,CHEMBL130628,6.52,0,http://www.openphacts.org/units/Nanomolar,252534,=,1,1,=,,IC50,nM,,300.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.3
,,41170,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '17.60', 'le': '0.36', 'lle': '3.00', 'sei': '10.12'}",CHEMBL130478,,CHEMBL130478,6.10,0,http://www.openphacts.org/units/Nanomolar,252552,=,1,1,=,,IC50,nM,,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.8
,,42363,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(C)cc2)nn1C(=O)N(C)c1ccccc1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '16.60', 'le': '0.32', 'lle': '1.54', 'sei': '11.01'}",CHEMBL130112,,CHEMBL130112,5.62,0,http://www.openphacts.org/units/Nanomolar,252551,=,1,1,=,,IC50,nM,,2400.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,2.4
,,43561,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '23.59', 'le': '0.50', 'lle': '4.15', 'sei': '13.72'}",CHEMBL130098,,CHEMBL130098,7.00,0,http://www.openphacts.org/units/Nanomolar,252525,=,1,1,=,,IC50,nM,,100.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.1
,,45908,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '20.85', 'le': '0.42', 'lle': '3.89', 'sei': '10.12'}",CHEMBL336538,,CHEMBL336538,6.10,0,http://www.openphacts.org/units/Nanomolar,252527,=,1,1,=,,IC50,nM,,800.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.8
,,48497,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '23.37', 'le': '0.45', 'lle': '3.95', 'sei': '14.31'}",CHEMBL335033,,CHEMBL335033,7.30,0,http://www.openphacts.org/units/Nanomolar,252542,=,1,1,=,,IC50,nM,,50.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.05
,,49921,[],CHEMBL643384,Inhibitory concentration against acetylcholinesterase,B,,,BAO_0000190,BAO_0000357,single protein format,CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C,,,CHEMBL1148382,J Med Chem,2004.0,"{'bei': '18.47', 'le': '0.36', 'lle': '2.39', 'sei': '12.25'}",CHEMBL338720,,CHEMBL338720,6.25,0,http://www.openphacts.org/units/Nanomolar,252543,=,1,1,=,,IC50,nM,,560.0,CHEMBL220,Homo sapiens,Acetylcholinesterase,9606,,,IC50,uM,UO_0000065,,0.56
